epoch,train_mse,val_mse
1,0.9243722892,0.8859271198
2,0.9243631575,0.8859233710
3,0.9243540317,0.8859196226
4,0.9243449117,0.8859158746
5,0.9243357976,0.8859121269
6,0.9243266893,0.8859083796
7,0.9243175869,0.8859046327
8,0.9243084902,0.8859008862
9,0.9242993994,0.8858971400
10,0.9242903144,0.8858933942
11,0.9242812352,0.8858896489
12,0.9242721618,0.8858859038
13,0.9242630941,0.8858821592
14,0.9242540323,0.8858784150
15,0.9242449762,0.8858746712
16,0.9242359258,0.8858709277
17,0.9242268812,0.8858671846
18,0.9242178423,0.8858634420
19,0.9242088092,0.8858596997
20,0.9241997818,0.8858559578
21,0.9241907601,0.8858522164
22,0.9241817441,0.8858484753
23,0.9241727338,0.8858447346
24,0.9241637292,0.8858409944
25,0.9241547302,0.8858372545
26,0.9241457370,0.8858335151
27,0.9241367494,0.8858297760
28,0.9241277675,0.8858260374
29,0.9241187912,0.8858222992
30,0.9241098205,0.8858185614
31,0.9241008555,0.8858148240
32,0.9240918962,0.8858110871
33,0.9240829424,0.8858073505
34,0.9240739942,0.8858036144
35,0.9240650517,0.8857998787
36,0.9240561147,0.8857961435
37,0.9240471834,0.8857924086
38,0.9240382576,0.8857886742
39,0.9240293374,0.8857849402
40,0.9240204227,0.8857812067
41,0.9240115136,0.8857774736
42,0.9240026100,0.8857737409
43,0.9239937120,0.8857700086
44,0.9239848196,0.8857662768
45,0.9239759326,0.8857625455
46,0.9239670512,0.8857588145
47,0.9239581752,0.8857550840
48,0.9239493048,0.8857513540
49,0.9239404399,0.8857476244
50,0.9239315804,0.8857438953
51,0.9239227264,0.8857401666
52,0.9239138779,0.8857364383
53,0.9239050349,0.8857327105
54,0.9238961973,0.8857289832
55,0.9238873652,0.8857252563
56,0.9238785385,0.8857215299
57,0.9238697173,0.8857178039
58,0.9238609014,0.8857140784
59,0.9238520910,0.8857103533
60,0.9238432860,0.8857066288
61,0.9238344864,0.8857029046
62,0.9238256922,0.8856991810
63,0.9238169034,0.8856954578
64,0.9238081200,0.8856917351
65,0.9237993419,0.8856880129
66,0.9237905692,0.8856842911
67,0.9237818019,0.8856805698
68,0.9237730399,0.8856768490
69,0.9237642833,0.8856731286
70,0.9237555320,0.8856694088
71,0.9237467861,0.8856656894
72,0.9237380454,0.8856619705
73,0.9237293101,0.8856582521
74,0.9237205801,0.8856545341
75,0.9237118554,0.8856508167
76,0.9237031360,0.8856470997
77,0.9236944219,0.8856433832
78,0.9236857130,0.8856396673
79,0.9236770094,0.8856359518
80,0.9236683111,0.8856322368
