epoch,train_ce,val_ce
1,1.6086586083,1.6086140881
2,1.6078807176,1.6077916637
3,1.6071042390,1.6069706379
4,1.6063291714,1.6061510095
5,1.6055555135,1.6053327775
6,1.6047832641,1.6045159405
7,1.6040124219,1.6037004974
8,1.6032429857,1.6028864471
9,1.6024749543,1.6020737883
10,1.6017083264,1.6012625197
11,1.6009431007,1.6004526403
12,1.6001792760,1.5996441488
13,1.5994168510,1.5988370440
14,1.5986558244,1.5980313246
15,1.5978961950,1.5972269895
16,1.5971379615,1.5964240373
17,1.5963811226,1.5956224670
18,1.5956256770,1.5948222772
19,1.5948716234,1.5940234668
20,1.5941189605,1.5932260344
21,1.5933676870,1.5924299788
22,1.5926178016,1.5916352989
23,1.5918693030,1.5908419932
24,1.5911221899,1.5900500607
25,1.5903764610,1.5892594999
26,1.5896321148,1.5884703097
27,1.5888891501,1.5876824888
28,1.5881475656,1.5868960359
29,1.5874073599,1.5861109498
30,1.5866685317,1.5853272291
31,1.5859310796,1.5845448725
32,1.5851950023,1.5837638789
33,1.5844602984,1.5829842469
34,1.5837269665,1.5822059751
35,1.5829950053,1.5814290624
36,1.5822644134,1.5806535074
37,1.5815351894,1.5798793088
38,1.5808073319,1.5791064653
39,1.5800808397,1.5783349756
40,1.5793557112,1.5775648384
41,1.5786319451,1.5767960523
42,1.5779095399,1.5760286160
43,1.5771884944,1.5752625282
44,1.5764688070,1.5744977876
45,1.5757504764,1.5737343928
46,1.5750335011,1.5729723426
47,1.5743178797,1.5722116354
48,1.5736036108,1.5714522701
49,1.5728906930,1.5706942453
50,1.5721791249,1.5699375596
51,1.5714689049,1.5691822116
52,1.5707600317,1.5684282000
53,1.5700525038,1.5676755235
54,1.5693463198,1.5669241806
55,1.5686414781,1.5661741700
56,1.5679379775,1.5654254904
57,1.5672358163,1.5646781403
58,1.5665349931,1.5639321183
59,1.5658355064,1.5631874232
60,1.5651373549,1.5624440534
61,1.5644405369,1.5617020077
62,1.5637450510,1.5609612845
63,1.5630508957,1.5602218826
64,1.5623580696,1.5594838005
65,1.5616665711,1.5587470368
66,1.5609763987,1.5580115901
67,1.5602875510,1.5572774590
68,1.5596000263,1.5565446421
69,1.5589138233,1.5558131379
70,1.5582289404,1.5550829451
71,1.5575453760,1.5543540622
72,1.5568631287,1.5536264877
73,1.5561821968,1.5529002204
74,1.5555025790,1.5521752586
75,1.5548242736,1.5514516010
76,1.5541472791,1.5507292462
77,1.5534715940,1.5500081927
78,1.5527972167,1.5492884390
79,1.5521241457,1.5485699837
80,1.5514523793,1.5478528254
81,1.5507819161,1.5471369625
82,1.5501127545,1.5464223937
83,1.5494448929,1.5457091175
84,1.5487783298,1.5449971323
85,1.5481130635,1.5442864368
86,1.5474490925,1.5435770294
87,1.5467864153,1.5428689087
88,1.5461250301,1.5421620733
89,1.5454649355,1.5414565215
90,1.5448061299,1.5407522520
91,1.5441486115,1.5400492632
92,1.5434923790,1.5393475537
93,1.5428374305,1.5386471219
94,1.5421837647,1.5379479664
95,1.5415313797,1.5372500857
96,1.5408802740,1.5365534782
97,1.5402304461,1.5358581425
98,1.5395818942,1.5351640770
99,1.5389346167,1.5344712802
100,1.5382886121,1.5337797507
101,1.5376438786,1.5330894869
102,1.5370004147,1.5324004873
103,1.5363582188,1.5317127503
104,1.5357172890,1.5310262744
105,1.5350776239,1.5303410582
106,1.5344392218,1.5296571000
107,1.5338020810,1.5289743984
108,1.5331661999,1.5282929517
109,1.5325315768,1.5276127586
110,1.5318982100,1.5269338173
111,1.5312660979,1.5262561264
112,1.5306352388,1.5255796843
113,1.5300056311,1.5249044895
114,1.5293772731,1.5242305405
115,1.5287501630,1.5235578355
116,1.5281242992,1.5228863732
117,1.5274996801,1.5222161519
118,1.5268763039,1.5215471702
119,1.5262541689,1.5208794263
120,1.5256332735,1.5202129187
