epoch,train_mse,val_mse
1,1.0105779287,1.1040177578
2,1.0105733258,1.1040257480
3,1.0105699961,1.1040359640
4,1.0105690440,1.1040522215
5,1.0105682360,1.1040669534
6,1.0105674085,1.1040816818
7,1.0105665616,1.1040964070
8,1.0105656954,1.1041111291
9,1.0105648101,1.1041258482
10,1.0105639057,1.1041405644
11,1.0105629825,1.1041552779
12,1.0105620406,1.1041699887
13,1.0105610800,1.1041846970
