epoch,train_ce,val_ce
1,1.6085453591,1.6087926282
2,1.6076544402,1.6081486437
3,1.6067651546,1.6075059576
4,1.6058775012,1.6068645689
5,1.6049914790,1.6062244763
6,1.6041070866,1.6055856787
7,1.6032243231,1.6049481750
8,1.6023431872,1.6043119639
9,1.6014636778,1.6036770443
10,1.6005857937,1.6030434150
11,1.5997095337,1.6024110748
12,1.5988348966,1.6017800225
13,1.5979618814,1.6011502569
14,1.5970904866,1.6005217767
15,1.5962207113,1.5998945809
16,1.5953525541,1.5992686681
17,1.5944860138,1.5986440371
18,1.5936210892,1.5980206868
19,1.5927577790,1.5973986159
20,1.5918960821,1.5967778230
21,1.5910359971,1.5961583071
22,1.5901775229,1.5955400669
23,1.5893206581,1.5949231010
24,1.5884654015,1.5943074083
25,1.5876117518,1.5936929875
26,1.5867597078,1.5930798373
27,1.5859092681,1.5924679564
28,1.5850604314,1.5918573436
29,1.5842131964,1.5912479975
30,1.5833675619,1.5906399170
31,1.5825235264,1.5900331006
32,1.5816810888,1.5894275472
33,1.5808402475,1.5888232554
34,1.5800010014,1.5882202238
35,1.5791633490,1.5876184513
36,1.5783272890,1.5870179364
37,1.5774928201,1.5864186778
38,1.5766599408,1.5858206743
39,1.5758286498,1.5852239244
40,1.5749989457,1.5846284269
41,1.5741708271,1.5840341804
42,1.5733442927,1.5834411836
43,1.5725193409,1.5828494350
44,1.5716959705,1.5822589335
45,1.5708741800,1.5816696775
46,1.5700539679,1.5810816657
47,1.5692353329,1.5804948968
48,1.5684182734,1.5799093694
49,1.5676027881,1.5793250821
50,1.5667888755,1.5787420335
51,1.5659765342,1.5781602223
52,1.5651657626,1.5775796470
53,1.5643565593,1.5770003062
54,1.5635489228,1.5764221985
55,1.5627428517,1.5758453226
56,1.5619383445,1.5752696770
57,1.5611353995,1.5746952603
58,1.5603340154,1.5741220711
59,1.5595341907,1.5735501080
60,1.5587359237,1.5729793695
61,1.5579392131,1.5724098541
62,1.5571440571,1.5718415605
63,1.5563504544,1.5712744873
64,1.5555584034,1.5707086329
65,1.5547679024,1.5701439958
66,1.5539789500,1.5695805748
67,1.5531915446,1.5690183682
68,1.5524056847,1.5684573747
69,1.5516213685,1.5678975927
70,1.5508385946,1.5673390208
71,1.5500573614,1.5667816574
72,1.5492776672,1.5662255012
73,1.5484995105,1.5656705507
74,1.5477228896,1.5651168043
75,1.5469478030,1.5645642605
76,1.5461742490,1.5640129178
77,1.5454022259,1.5634627748
78,1.5446317322,1.5629138299
79,1.5438627662,1.5623660817
80,1.5430953262,1.5618195285
81,1.5423294107,1.5612741689
82,1.5415650178,1.5607300014
83,1.5408021461,1.5601870244
84,1.5400407937,1.5596452364
85,1.5392809590,1.5591046358
86,1.5385226404,1.5585652212
87,1.5377658361,1.5580269909
88,1.5370105445,1.5574899434
89,1.5362567638,1.5569540772
90,1.5355044923,1.5564193907
91,1.5347537283,1.5558858824
92,1.5340044701,1.5553535506
93,1.5332567160,1.5548223939
94,1.5325104642,1.5542924106
95,1.5317657130,1.5537635991
96,1.5310224606,1.5532359579
97,1.5302807053,1.5527094855
98,1.5295404454,1.5521841801
99,1.5288016791,1.5516600403
100,1.5280644045,1.5511370644
101,1.5273286200,1.5506152508
102,1.5265943237,1.5500945979
103,1.5258615139,1.5495751042
104,1.5251301888,1.5490567680
105,1.5244003465,1.5485395876
106,1.5236719854,1.5480235615
107,1.5229451035,1.5475086881
108,1.5222196990,1.5469949658
109,1.5214957702,1.5464823928
110,1.5207733153,1.5459709676
111,1.5200523323,1.5454606885
112,1.5193328194,1.5449515539
113,1.5186147749,1.5444435622
114,1.5178981968,1.5439367117
115,1.5171830834,1.5434310008
116,1.5164694327,1.5429264278
117,1.5157572429,1.5424229911
118,1.5150465121,1.5419206889
119,1.5143372386,1.5414195197
120,1.5136294203,1.5409194818
