epoch,train_mse,val_mse
1,1.0374954997,1.0277203463
2,1.0374933928,1.0277239967
3,1.0374930137,1.0277291059
4,1.0374926131,1.0277341929
5,1.0374921911,1.0277392580
6,1.0374917479,1.0277443013
7,1.0374912836,1.0277493230
8,1.0374907985,1.0277543235
9,1.0374902927,1.0277593028
10,1.0374897664,1.0277642611
11,1.0374892197,1.0277691988
12,1.0376130453,1.0271819278
13,1.0374880195,1.0277790105
14,1.0374874129,1.0277838873
15,1.0374867865,1.0277887441
16,1.0374861405,1.0277935812
17,1.0374854750,1.0277983987
18,1.0374847903,1.0278031967
19,1.0374840864,1.0278079756
20,1.0374833635,1.0278127353
21,1.0374826217,1.0278174762
22,1.0374818613,1.0278221984
23,1.0374810822,1.0278269021
24,1.0374802847,1.0278315873
