fold,best_epoch,best_train_mse,best_val_mse
1,2,1.0280308553,1.0062648079
2,1,1.0105779287,1.1040177578
3,6,0.9302557613,1.3540461391
4,1,1.0531897626,0.9618429568
5,12,1.0376130453,1.0271819278
