epoch,train_ce,val_ce
1,1.6086786474,1.6085672219
2,1.6079207191,1.6076979990
3,1.6071641264,1.6068302427
4,1.6064088683,1.6059639519
5,1.6056549435,1.6050991256
6,1.6049023510,1.6042357626
7,1.6041510896,1.6033738619
8,1.6034011583,1.6025134225
9,1.6026525559,1.6016544431
10,1.6019052813,1.6007969228
11,1.6011593333,1.5999408603
12,1.6004147109,1.5990862546
13,1.5996714128,1.5982331046
14,1.5989294379,1.5973814092
15,1.5981887851,1.5965311672
16,1.5974494532,1.5956823775
17,1.5967114410,1.5948350390
18,1.5959747475,1.5939891505
19,1.5952393714,1.5931447110
20,1.5945053115,1.5923017191
21,1.5937725668,1.5914601739
22,1.5930411360,1.5906200741
23,1.5923110179,1.5897814186
24,1.5915822114,1.5889442062
25,1.5908547152,1.5881084357
26,1.5901285282,1.5872741060
27,1.5894036492,1.5864412159
28,1.5886800770,1.5856097642
29,1.5879578103,1.5847797497
30,1.5872368481,1.5839511713
31,1.5865171890,1.5831240276
32,1.5857988318,1.5822983176
33,1.5850817754,1.5814740400
34,1.5843660185,1.5806511935
35,1.5836515599,1.5798297771
36,1.5829383983,1.5790097894
37,1.5822265326,1.5781912293
38,1.5815159615,1.5773740954
39,1.5808066837,1.5765583867
40,1.5800986980,1.5757441017
41,1.5793920032,1.5749312393
42,1.5786865980,1.5741197983
43,1.5779824812,1.5733097774
44,1.5772796514,1.5725011752
45,1.5765781075,1.5716939907
46,1.5758778481,1.5708882224
47,1.5751788721,1.5700838691
48,1.5744811781,1.5692809296
49,1.5737847648,1.5684794025
50,1.5730896310,1.5676792867
51,1.5723957754,1.5668805807
52,1.5717031967,1.5660832833
53,1.5710118936,1.5652873932
54,1.5703218648,1.5644929091
55,1.5696331090,1.5636998297
56,1.5689456250,1.5629081536
57,1.5682594113,1.5621178797
58,1.5675744668,1.5613290064
59,1.5668907900,1.5605415326
60,1.5662083797,1.5597554568
61,1.5655272346,1.5589707778
62,1.5648473533,1.5581874942
63,1.5641687345,1.5574056047
64,1.5634913768,1.5566251079
65,1.5628152790,1.5558460025
66,1.5621404397,1.5550682871
67,1.5614668576,1.5542919603
68,1.5607945312,1.5535170209
69,1.5601234594,1.5527434673
70,1.5594536406,1.5519712984
71,1.5587850736,1.5512005126
72,1.5581177570,1.5504311086
73,1.5574516895,1.5496630850
74,1.5567868696,1.5488964404
75,1.5561232960,1.5481311735
76,1.5554609674,1.5473672828
77,1.5547998823,1.5466047669
78,1.5541400394,1.5458436245
79,1.5534814373,1.5450838540
80,1.5528240746,1.5443254542
81,1.5521679499,1.5435684236
82,1.5515130619,1.5428127607
83,1.5508594091,1.5420584642
84,1.5502069901,1.5413055326
85,1.5495558036,1.5405539644
86,1.5489058481,1.5398037583
87,1.5482571223,1.5390549128
88,1.5476096246,1.5383074265
89,1.5469633538,1.5375612978
90,1.5463183083,1.5368165254
91,1.5456744868,1.5360731078
92,1.5450318878,1.5353310435
93,1.5443905099,1.5345903311
94,1.5437503517,1.5338509691
95,1.5431114118,1.5331129560
96,1.5424736886,1.5323762903
97,1.5418371808,1.5316409707
98,1.5412018869,1.5309069955
99,1.5405678055,1.5301743633
100,1.5399349351,1.5294430726
101,1.5393032743,1.5287131219
102,1.5386728216,1.5279845097
103,1.5380435756,1.5272572345
104,1.5374155347,1.5265312949
105,1.5367886976,1.5258066892
106,1.5361630627,1.5250834160
107,1.5355386287,1.5243614738
108,1.5349153939,1.5236408610
109,1.5342933570,1.5229215761
110,1.5336725165,1.5222036176
111,1.5330528708,1.5214869840
112,1.5324344185,1.5207716736
113,1.5318171582,1.5200576851
114,1.5312010882,1.5193450168
115,1.5305862072,1.5186336672
116,1.5299725136,1.5179236347
117,1.5293600059,1.5172149179
118,1.5287486826,1.5165075151
119,1.5281385423,1.5158014247
120,1.5275295833,1.5150966453
