epoch,train_ce,val_ce
1,1.6086406873,1.6086396555
2,1.6078448718,1.6078428330
3,1.6070504649,1.6070474440
4,1.6062574653,1.6062534871
5,1.6054658718,1.6054609613
6,1.6046756832,1.6046698653
7,1.6038868983,1.6038801982
8,1.6030995158,1.6030919585
9,1.6023135346,1.6023051453
10,1.6015289534,1.6015197572
11,1.6007457709,1.6007357932
12,1.5999639860,1.5999532520
13,1.5991835973,1.5991721325
14,1.5984046037,1.5983924334
15,1.5976270038,1.5976141535
16,1.5968507965,1.5968372918
17,1.5960759804,1.5960618468
18,1.5953025543,1.5952878175
19,1.5945305170,1.5945152026
20,1.5937598671,1.5937440008
21,1.5929906034,1.5929742111
22,1.5922227246,1.5922058320
23,1.5914562294,1.5914388625
24,1.5906911165,1.5906733012
25,1.5899273846,1.5899091469
26,1.5891650325,1.5891463984
27,1.5884040589,1.5883850544
28,1.5876444623,1.5876251137
29,1.5868862416,1.5868665749
30,1.5861293954,1.5861094369
31,1.5853739223,1.5853536984
32,1.5846198212,1.5845993580
33,1.5838670906,1.5838464146
34,1.5831157292,1.5830948668
35,1.5823657356,1.5823447134
36,1.5816171087,1.5815959530
37,1.5808698469,1.5808485843
38,1.5801239490,1.5801026061
39,1.5793794136,1.5793580171
40,1.5786362393,1.5786148159
41,1.5778944249,1.5778730013
42,1.5771539689,1.5771325719
43,1.5764148699,1.5763935264
44,1.5756771267,1.5756558635
45,1.5749407378,1.5749195818
46,1.5742057019,1.5741846801
47,1.5734720176,1.5734511569
48,1.5727396834,1.5727190110
49,1.5720086980,1.5719882410
50,1.5712790601,1.5712588455
51,1.5705507682,1.5705308233
52,1.5698238209,1.5698041729
53,1.5690982168,1.5690788929
54,1.5683739546,1.5683549821
55,1.5676510327,1.5676324390
56,1.5669294499,1.5669112623
57,1.5662092046,1.5661914506
58,1.5654902954,1.5654730024
59,1.5647727210,1.5647559166
60,1.5640564798,1.5640401915
61,1.5633415706,1.5633258259
62,1.5626279917,1.5626128183
63,1.5619157419,1.5619011674
64,1.5612048195,1.5611908718
65,1.5604952233,1.5604819299
66,1.5597869517,1.5597743405
67,1.5590800033,1.5590681021
68,1.5583743766,1.5583632132
69,1.5576700702,1.5576596725
70,1.5569670826,1.5569574785
71,1.5562654124,1.5562566298
72,1.5555650580,1.5555571250
73,1.5548660180,1.5548589626
74,1.5541682909,1.5541621411
75,1.5534718752,1.5534666592
76,1.5527767694,1.5527725153
77,1.5520829721,1.5520797081
78,1.5513904818,1.5513882360
79,1.5506992969,1.5506980975
80,1.5500094160,1.5500092913
81,1.5493208375,1.5493218159
82,1.5486335599,1.5486356697
83,1.5479475818,1.5479508513
84,1.5472629017,1.5472673593
85,1.5465795179,1.5465851920
86,1.5458974290,1.5459043481
87,1.5452166335,1.5452248260
88,1.5445371298,1.5445466243
89,1.5438589164,1.5438697415
90,1.5431819918,1.5431941759
91,1.5425063544,1.5425199262
92,1.5418320027,1.5418469909
93,1.5411589352,1.5411753683
94,1.5404871503,1.5405050570
95,1.5398166464,1.5398360555
96,1.5391474220,1.5391683622
97,1.5384794756,1.5385019757
98,1.5378128055,1.5378368943
99,1.5371474103,1.5371731166
100,1.5364832883,1.5365106409
101,1.5358204380,1.5358494659
102,1.5351588579,1.5351895898
103,1.5344985463,1.5345310112
104,1.5338395016,1.5338737285
105,1.5331817224,1.5332177402
106,1.5325252069,1.5325630447
107,1.5318699537,1.5319096404
108,1.5312159611,1.5312575257
109,1.5305632275,1.5306066992
110,1.5299117514,1.5299571592
111,1.5292615311,1.5293089041
112,1.5286125650,1.5286619324
113,1.5279648516,1.5280162425
114,1.5273183892,1.5273718327
115,1.5266731762,1.5267287016
116,1.5260292111,1.5260868475
117,1.5253864921,1.5254462688
118,1.5247450177,1.5248069640
119,1.5241047863,1.5241689313
120,1.5234657962,1.5235321693
