epoch,train_mse,val_mse
1,0.9008057587,1.0255943820
2,0.9007978646,1.0255884534
3,0.9007899716,1.0255825289
4,0.9007820798,1.0255766086
5,0.9007741892,1.0255706923
6,0.9007662997,1.0255647801
7,0.9007584115,1.0255588720
8,0.9007505244,1.0255529680
9,0.9007426385,1.0255470680
10,0.9007347537,1.0255411721
11,0.9007268702,1.0255352802
12,0.9007189878,1.0255293924
13,0.9007111065,1.0255235087
14,0.9007032265,1.0255176289
15,0.9006953476,1.0255117532
16,0.9006874699,1.0255058815
17,0.9006795933,1.0255000139
18,0.9006717180,1.0254941502
19,0.9006638437,1.0254882906
20,0.9006559707,1.0254824349
21,0.9006480988,1.0254765832
22,0.9006402281,1.0254707355
23,0.9006323585,1.0254648918
24,0.9006244902,1.0254590521
25,0.9006166229,1.0254532163
26,0.9006087569,1.0254473845
27,0.9006008920,1.0254415567
28,0.9005930282,1.0254357328
29,0.9005851657,1.0254299128
30,0.9005773043,1.0254240967
31,0.9005694440,1.0254182846
32,0.9005615849,1.0254124764
33,0.9005537270,1.0254066722
34,0.9005458702,1.0254008718
35,0.9005380146,1.0253950753
36,0.9005301601,1.0253892828
37,0.9005223068,1.0253834941
38,0.9005144546,1.0253777093
39,0.9005066036,1.0253719284
40,0.9004987538,1.0253661514
41,0.9004909051,1.0253603782
42,0.9004830575,1.0253546089
43,0.9004752111,1.0253488434
44,0.9004673659,1.0253430818
45,0.9004595218,1.0253373240
46,0.9004516788,1.0253315701
47,0.9004438370,1.0253258200
48,0.9004359964,1.0253200737
49,0.9004281569,1.0253143312
50,0.9004203185,1.0253085925
51,0.9004124813,1.0253028577
52,0.9004046453,1.0252971266
53,0.9003968104,1.0252913993
54,0.9003889766,1.0252856759
55,0.9003811440,1.0252799561
56,0.9003733125,1.0252742402
57,0.9003654822,1.0252685280
58,0.9003576530,1.0252628196
59,0.9003498249,1.0252571150
60,0.9003419980,1.0252514141
61,0.9003341722,1.0252457169
62,0.9003263476,1.0252400235
63,0.9003185241,1.0252343338
64,0.9003107017,1.0252286478
65,0.9003028805,1.0252229655
66,0.9002950604,1.0252172870
67,0.9002872415,1.0252116121
68,0.9002794237,1.0252059410
69,0.9002716070,1.0252002735
70,0.9002637915,1.0251946098
71,0.9002559771,1.0251889497
72,0.9002481638,1.0251832933
73,0.9002403517,1.0251776405
74,0.9002325407,1.0251719915
75,0.9002247308,1.0251663460
76,0.9002169221,1.0251607043
77,0.9002091145,1.0251550661
78,0.9002013080,1.0251494316
79,0.9001935026,1.0251438008
80,0.9001856984,1.0251381735
